¦~¥÷,Country code,Target region code,Summit code,¤è¦ì,Sunnit area section,code,area,Date (YYYYMMDD),Time from (HH:MM¡A24¤p®É¨î),Time to (HH:MM¡A24¤p®É¨î),Researcher(s),Vascular plants,Solid rock,Scree,Lichens,Bryophytes,Bare ground,Litter
2009,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,05,20090926,08:04,08:22,ªL­õ¦t¡B³¯§»®¦¡B¶À¥@¦|,81.5,3,3.5,1.5,0.5,0,10
2009,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,10,20090926,08:25,08:50,ªL­õ¦t¡B³¯§»®¦¡B¶À¥@¦|,84,3,5,2,0.5,0,6
2009,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,05,20090926,09:07,09:50,ÁÂµÙ¬K¡BÁÂ®a¼z,75,5,8,4,0,1,7
2009,TW,SYU,DSH,N,N10,2009TWSYUDSHN10,10,20090926,09:05,09:44,ªL­õ¦t¡B³¯§»®¦¡B¶À¥@¦|,79,2.5,7,2,0.5,0.3,9
2009,TW,SYU,DSH,S,S05,2009TWSYUDSHS05,05,20090926,11:00,11:28,ÁÂµÙ¬K¡BÁÂ®a¼z,72.5,5,15,0.5,2,2,3
2009,TW,SYU,DSH,S,S10,2009TWSYUDSHS10,10,20090926,10:50,11:19,ªL­õ¦t¡B³¯§»®¦¡B¶À¥@¦|,57,15,25,0,0,0.5,3
2009,TW,SYU,DSH,W,W05,2009TWSYUDSHW05,05,20090926,09:50,10:58,ÁÂµÙ¬K¡BÁÂ®a¼z,60,12,18,2,0.1,0.5,7.4
2009,TW,SYU,DSH,W,W10,2009TWSYUDSHW10,10,20090926,09:55,10:43,ªL­õ¦t¡B³¯§»®¦¡B¶À¥@¦|,80,6,4,2,0.5,0.5,7
2009,TW,SYU,JNJ,E,E05,2009TWSYUJNJE05,05,20090626,08:30,08:50,ªL­õ¦t¡B§õ«³­},73,1.2,23.2,0.17,0,0.32,2.4
2009,TW,SYU,JNJ,E,E10,2009TWSYUJNJE10,10,20090626,08:57,09:30,ªL­õ¦t¡B§õ«³­},75,9.45,13.94,0.68,0,0.81,0.4
2009,TW,SYU,JNJ,N,N05,2009TWSYUJNJN05,05,20090626,09:35,09:55,ªL­õ¦t¡B§õ«³­},90,0,0.22,3.6,0.22,0.22,6.61
2009,TW,SYU,JNJ,N,N10,2009TWSYUJNJN10,10,20090626,10:00,10:25,ªL­õ¦t¡B§õ«³­},92,0,0.95,1.36,0.11,0.07,5.58
2009,TW,SYU,JNJ,S,S05,2009TWSYUJNJS05,05,20090625,14:00,14:25,ªL­õ¦t,57,8.69,25.21,0,0,3.47,6.08
2009,TW,SYU,JNJ,S,S10,2009TWSYUJNJS10,10,20090626,07:50,08:30,ªL­õ¦t¡B§õ«³­},81,12,5.64,0,0.05,0.76,1.29
2009,TW,SYU,JNJ,W,W05,2009TWSYUJNJW05,05,20090625,11:30,12:00,ªL­õ¦t,79.4,2.38,5.55,0,0.79,3.17,8.73
2009,TW,SYU,JNJ,W,W10,2009TWSYUJNJW10,10,20090625,12:05,12:35,ªL­õ¦t,84.2,7.86,2.62,0.43,0.43,0,5.24
2009,TW,SYU,TSW,E,E05,2009TWSYUTSWE05,05,20090620,07:16,08:00,ªL­õ¦t,80.5,2.58,8.48,1.1,0.36,2.56,4.42
2009,TW,SYU,TSW,E,E10,2009TWSYUTSWE10,10,20090620,09:25,10:02,ªL­õ¦t¡B§õ«³­},69.34,9.8,7.6,0.37,0.76,0.27,11.86
2009,TW,SYU,TSW,N,N05,2009TWSYUTSWN05,05,20090619,07:45,08:40,ªL­õ¦t¡B¶À¥@¦|,70.31,0.66,0.6,20.33,2,0,6.1
2009,TW,SYU,TSW,N,N10,2009TWSYUTSWN10,10,20090619,09:00,10:06,ªL­õ¦t,89,1.1,1.37,4.13,2.47,0,5.78
2009,TW,SYU,TSW,S,S05,2009TWSYUTSWS05,05,20090619,10:12,10:58,ªL­õ¦t,70.5,1.87,14.08,0,2.34,1.4,9.85
2009,TW,SYU,TSW,S,S10,2009TWSYUTSWS10,10,20090619,11:42,12:49,ªL­õ¦t,63,15.8,8.11,0,3.84,0.85,8.54
2009,TW,SYU,TSW,W,W05,2009TWSYUTSWW05,05,20090618,11:26,12:30,ªL­õ¦t,82,0.04,9.96,0.01,1.24,0,7.46
2009,TW,SYU,TSW,W,W10,2009TWSYUTSWW10,10,20090619,06:42,07:40,ªL­õ¦t¡B¶À¥@¦|,77.5,1.34,14.14,2.69,2.02,0,3.36
2014,TW,SYU,DSH,E,E05,2014TWSYUDSHE05,05,20140825,15:22,15:46,ªL§g»ö,84,3,3,1,0,1,8
