"","scientificname","code","1","2","3","4","5"
"1","Abies kawakamii",1,11.7,30.3,43.8,75.4,229.8
"2","Agrostis infirma",2,0,24,73.4,132.975,256.2
"3","Ainsliaea latifolia henryi",3,14.2,43.6,52.7,80.1,109.5
"4","Amitostigma alpestre",4,14.7,23.8,27.4,36.5,84
"5","Anaphalis morrisonicola",5,11.7,36,60.8,86.7,222.1
"6","Anaphalis nepalensis",6,0,15.2,43.1,85.45,241.1
"7","Arabidopsis lyrata kamchatica",7,0,18.1,29.1,55.975,229.8
"8","Arenaria takasagomontana",8,26.2,30.675,37,79.4,109.6
"9","Artemisia kawakamii",9,9.4,21.4,27.8,47.6,194.5
"10","Athyrium reflexipinnum",10,10.7,21.1,32.8,73.4,238.8
"11","Berberis kawakamii",11,11.7,41.65,51.6,78.425,233.9
"12","Berberis morrisonensis",12,9.4,15.8,23,33.3,231.2
"13","Boschniakia himalaica",13,0,41.5,52.6,89.6,199.5
"14","Brachypodium kawakamii",14,11.7,23.15,35.85,43.3,206
"15","Calamagrostis filifolia",15,0,42.4,67.7,111.6,242.5
"16","Carex brachyanthera",16,0,0.2,158.1,220.5,220.5
"17","Carex breviculmis",17,2,65.3,96.9,114.5,230
"18","Carex chrysolepis",18,11.7,15.8,25.6,65.7,225.5
"19","Carex filicina",19,0,72.2,109.9,159,269.8
"20","Carex orthostemon",20,43.7,79.5,94.1,109.6,199.2
"21","Carex oxyandra",21,0,42.6,66.35,86.7,152.9
"22","Carex tristachya pocilliformis",22,11.7,111.45,131.9,148.75,227.9
"23","Cirsium arisanense",23,10.7,27.4,50.8,70.6,168.9
"24","Cirsium kawakamii",24,13.8,15.8,21.1,37.55,200.5
"25","Clematis montana",25,0,52.6,87.95,118.5,231.2
"26","Dendrolycopodium juniperoideum",26,6.4,26.075,32.85,40.75,99.6
"27","Deschampsia flexuosa",27,13.3,61.6,68.2,69.6,85.1
"28","Dianthus pygmaeus",28,11.7,21.95,47.6,82.525,231.2
"29","Diphasiastrum multispicatum",29,0,61.25,99,137.4,241.2
"30","Diphasiastrum veitchii",30,10,26.2,40.4,89.6,205.7
"31","Diphasiastrum yueshanense",31,26.2,37.45,47.6,86.5,99.8
"32","Dryopteris alpestris",32,11.7,24.65,32.3,49.9,176.3
"33","Dryopteris expansa",33,3.7,35.4,44.6,51.7,113.6
"34","Elymus formosanus",34,9.4,15.8,27.8,75.4,209.7
"35","Euphrasia transmorrisonensis",35,10.7,29.075,49,71.25,218.3
"36","Festuca japonica",36,9.4,61.3,68.1,102.6,143.1
"37","Festuca ovina",37,2.9,44.5,47.6,51.8,168.6
"38","Festuca rubra",38,4.1,46.275,51.7,54,116.8
"39","Gaultheria itoana",39,11.7,32.3,59.7,82.65,214.2
"40","Gentiana arisanensis",40,9.4,21.325,29.9,38.1,207.4
"41","Gentiana davidii var. formosana",41,11.7,47.6,77.65,98.6,212.6
"42","Gentiana flavomaculata",42,11.7,54.6,73.7,90,221.4
"43","Gentiana scabrida",44,11.7,26.2,34.55,58.65,222.1
"44","Gentiana scabrida var. punctulata",43,13.5,26.3,30.7,35.9,74.8
"45","Geranium hayatanum",45,9.4,15.8,24,35.9,218.3
"46","Gnaphalium involucratum simplex",46,22.7,50.275,60.1,81.925,202.1
"47","Helictotrichon abietetorum",47,11.7,14.7,24,37,215
"48","Hieracium morii",48,11.7,22.85,27.7,38.975,173.8
"49","Huperzia selago",49,0,20.3,37.9,45.9,126.4
"50","Hydrocotyle setulosa",50,13.8,74.125,83.05,101.9,208.6
"51","Hypericum nagasawae",51,11.7,32.1,46.8,55.7,218.3
"52","Juniperus formosana formosana",52,19.4,36.8,89.4,126.5,169.7
"53","Juniperus squamata",53,0,32.3,56,89.4,226.9
"54","Leontopodium microphyllum",54,9.4,14.7,23.6,32.4,229.8
"55","Luzula effusa",55,9.4,46.6,89.6,121,189.1
"56","Luzula taiwaniana",56,9.4,15.8,22.55,36.625,229.8
"57","Lycopodium clavatum",57,6.1,39.5,45.5,53.9,196.5
