"","name","code","N","bio_1_1","bio_1_2","bio_1_3","bio_1_4","bio_1_5","i.code","bio_12_1","bio_12_2","bio_12_3","bio_12_4","bio_12_5"
"1","Abies kawakamii",1,251,4,6.45,8.1,11.2,24.1,1,435,2331,2562,2894,3588
"2","Agrostis infirma",2,620,1.6,6.2,11.1,16.1,26.3,2,420,2514,2871.5,3367.75,6774
"3","Ainsliaea latifolia henryi",3,41,4.4,8.3,9.3,11.7,14.1,3,2135,2634,3125,3431,3617
"4","Amitostigma alpestre",4,29,4.1,5.5,6.1,7.2,12,4,2120,2533,2612,2716,3269
"5","Anaphalis morrisonicola",5,455,3.9,7.2,10,12.2,23.5,5,1446,2383,2654,3239,4123
"6","Anaphalis nepalensis",6,1440,-12.1,1.4,6.7,11.3,25.1,6,41,430,689,1348,3431
"7","Arabidopsis lyrata kamchatica",7,1536,-13.8,-1.7,3.8,8,24.1,7,119,520,1229.5,2170,4777
"8","Arenaria takasagomontana",8,6,6,6.525,7.3,11.45,14.1,8,2246,2331.75,2429.5,2537.75,3542
"9","Artemisia kawakamii",9,119,3,5.1,6.2,8.7,21.2,9,1858,2522,2612,2841.5,3629
"10","Athyrium reflexipinnum",10,68,3.3,5,6.7,11.1,24.9,10,1369,2308,2498.5,2733.75,4010
"11","Berberis kawakamii",11,328,3.9,7.875,9.1,11.525,24.5,11,1663,2348,2550,3151.25,4072
"12","Berberis morrisonensis",12,263,3,4.4,5.3,6.85,24.3,12,1663,2349,2612,2851,3542
"13","Boschniakia himalaica",13,240,-5.7,6.5,7.9,12.4,21.6,13,195,503,616,1044,4883
"14","Brachypodium kawakamii",14,66,3.9,5.325,7.2,8.075,22.2,14,1947,2484.5,2669,2862.25,3359
"15","Calamagrostis filifolia",15,118,3.5,7.7,10.6,14.325,25.2,15,193,561,2293,3008,6774
"16","Carex brachyanthera",16,52,3,4.4,5.9,8,23.4,16,2246,2465.75,2711,3117.5,6774
"17","Carex breviculmis",17,2693,0.6,9.7,13,14.5,24.2,17,334,772,993,1379,4192
"18","Carex chrysolepis",18,169,3.9,4.2,5.7,9.5,23.8,18,1906,2349,2582,2829,5506
"19","Carex filicina",19,494,-0.1,11,14.15,18.275,27.5,19,295,1612,2690,3364.75,6774
"20","Carex orthostemon",20,21,8.1,11.6,12.8,14.1,21.6,20,1991,2339,2585,3034,3817
"21","Carex oxyandra",21,928,-11.7,4.9,8.1,10.8,17.7,21,285,1238.5,1566,1964.75,3389
"22","Carex tristachya pocilliformis",22,211,4,14.2,16,17.4,24,22,965,1519,2095,2676.5,4157
"23","Cirsium arisanense",23,101,3.3,6.4,9.1,10.9,19.1,23,2142,2597,2763,3239,3666
"24","Cirsium kawakamii",24,103,3.9,4.2,5,7.6,21.7,24,2034,2411,2711,2851,3666
"25","Clematis montana",25,1904,-17.9,8.3,12.2,14.9,24.3,25,221,616,850,1334,5551
"26","Dendrolycopodium juniperoideum",26,98,-11,-4.775,1.6,6.65,13.3,26,229,494.75,765,2447.25,3411
"27","Deschampsia flexuosa",27,2995,-1.2,9.8,10.3,10.4,10.9,27,519,788,823,869,2902
"28","Dianthus pygmaeus",28,238,3.9,5.225,8.7,11.875,24.3,28,1609,2345,2538.5,2811,3637
"29","Diphasiastrum multispicatum",29,99,2.9,10,13.2,16.5,25.1,29,740,2187,2808,3097,3669
"30","Diphasiastrum veitchii",30,125,0.2,6,7.6,12.4,22.1,30,262,1125,2483,2608,3542
"31","Diphasiastrum yueshanense",31,31,6,7.3,8.6,12.2,13.3,31,2168,2317,2483,2667,3034
"32","Dryopteris alpestris",32,95,1.5,5.7,6.4,8.8,19.7,32,351,2317,2548,2713.5,3359
"33","Dryopteris expansa",33,2993,-5.9,3.8,5.9,7.8,14.5,33,318,660,889,1472,4053
"34","Elymus formosanus",34,145,3,4.2,6.2,11.3,22.5,34,1907,2531,2742,2869,3658
"35","Euphrasia transmorrisonensis",35,274,3.3,6.3,8.8,10.9,23.2,35,1964,2538.25,2697.5,3198,3666
"36","Festuca japonica",36,131,3,7.6,8.9,13.05,16.9,36,368,1077.5,1337,1654,3205
"37","Festuca ovina",37,2985,-3.5,6,6.6,8,19.1,37,317,566,667,801,3205
"38","Festuca rubra",38,2996,-3.4,6.4,8,8.4,14.6,38,289,611,713,838,2350
"39","Gaultheria itoana",39,211,3.9,6.7,9.9,11.9,22.8,39,262,2332.5,2572,2851,3666
"40","Gentiana arisanensis",40,352,3,5.1,6.4,7.4,22.3,40,1738,2443,2608,2768,3745
"41","Gentiana davidii var. formosana",41,316,3.9,8.7,11.5,13.2,22.7,41,1609,2522.75,2840.5,3334,4137
"42","Gentiana flavomaculata",42,157,4,9.4,11.1,12.5,23.5,42,1738,2513,3239,3470,4056
"43","Gentiana scabrida var. punctulata",43,65,4.2,6,6.5,7.2,11.2,43,2153,2518,2612,2667,3336
"44","Gentiana scabrida",44,292,2.6,6,6.8,9.5,23.5,44,292,2443,2608.5,2829,4059
"45","Geranium hayatanum",45,237,3,4.2,5.7,7.2,23.2,45,1994,2457,2612,2851,3542
"46","Gnaphalium involucratum simplex",46,32,5.3,8.9,9.9,11.85,21.8,46,1506,2248,2566.5,2847,4061
"47","Helictotrichon abietetorum",47,41,4,4.4,5.5,7.2,22.9,47,224,2608,2636,2742,3359
"48","Hieracium morii",48,32,3.9,5.575,6.25,7.675,19.5,48,2015,2531,2651,2851,3359
"49","Huperzia selago",49,2995,-10.9,1.9,5.2,6.6,15.5,49,117,684.5,913,1362,3644
"50","Hydrocotyle setulosa",50,94,3.9,11.2,11.9,13.475,22.4,50,1880,2522,2844,3451.5,4131
"51","Hypericum nagasawae",51,98,4,6.6,8.6,9.6,23.2,51,1976,2550,2753,3239,3542
"52","Juniperus formosana formosana",52,41,3.1,6.7,12.4,15.5,19.1,52,389,726,948,2501,3588
"53","Juniperus squamata",53,1137,-6.2,5.7,8.9,12.4,23.9,53,147,503,734,1058,5459
"54","Leontopodium microphyllum",54,212,3,4.4,5.5,6.7,24.1,54,1623,2440,2612,2851,3465
"55","Luzula effusa",55,336,2.2,7.5,12.4,15.1,20.8,55,262,626,1114,2343.75,6774
"56","Luzula taiwaniana",56,140,3,4.2,5.3,7.2,24.1,56,1623,2411,2700.5,2851,3566
"57","Lycopodium clavatum",57,2996,-6.5,4.6,5.9,7,21.4,57,338,632,793.5,1033,3884
"58","Maianthemum formosanum",58,157,3.8,5.5,8,12.8,23.9,58,1687,2358,2664,3165,3817
"59","Miscanthus sinensis",59,2054,1.4,9.5,10.9,14.1,25.3,59,102,812,1124.5,1623.25,4888
"60","Myriactis humilis",60,281,3.9,8.5,11.2,12.8,26.8,60,1609,2349,2678,3308,4123
"61","Origanum vulgare",61,3000,-0.3,8.5,10,11.1,25.7,61,165,650,798,970,2418
"62","Phleum alpinum",62,2987,-8,0,1.2,2.8,12.7,62,196,598,824,1230,3644
"63","Picris hieracioides subsp. morrisonensis (Hayata)",63,117,3.9,4.2,6.4,9.9,15.8,63,1848,2357,2608,2829,3669
"64","Pieris taiwanensis",64,381,3.9,10.5,12.5,18.4,25.1,64,1171,2568,2913,3359,4250
"65","Pinus armandii mastersiana",65,134,4,9.4,11.15,12.6,24.1,65,1167,2282.5,2668,3317.75,3629
"66","Pinus taiwanensis",66,505,5.5,9.9,14.7,18,24.3,66,435,1756,2248,2592,4287
"67","Platanthera brevicalcarata",67,191,3,5,6.3,8.8,20.1,67,1609,2419,2612,2811,4072
"68","Polygala japonica",68,1821,1.1,12.8,14.8,16.6,27.7,68,6,869,1133,1562,5247
"69","Potentilla leuconota var. morrisonicola",69,90,3.9,5.5,6.25,8.8,24.1,69,1623,2349,2570,2811,3542
"70","Potentilla tugitakensis",70,89,3.9,4.1,4.7,5.3,23.2,70,2164,2308,2463,2829,3010
"71","Rhododendron pseudochrysanthum",71,596,3,5.5,8,11.1,24.5,71,1248,2375.5,2636,3027,4122
"72","Rhododendron rubropilosum",72,547,3.9,8.1,10.5,12.7,23.1,72,1248,2308,2518,2905,4072
"73","Ribes formosanum",73,154,3.9,6.3,8.7,10.475,23.2,73,1663,2365,2641,2856,3511
"74","Rosa transmorrisonensis",74,206,3.9,6.6,8.7,11.05,24.3,74,1623,2384,2602.5,2834.75,4036
"75","Rubus rolfei",75,328,3.9,7.2,10.05,12.225,22.5,75,684,2377.25,2608,2909.25,4123
"76","Salix morrisonicola var. takasagoalpina",76,27,4,4.4,6,10.1,15.7,76,2091,2501,2637,2811,3359
"77","Scabiosa lacerifolia",77,108,3,4.1,4.75,6,24.3,77,1979,2539,2742,2851,3359
"78","Sedum morrisonense",78,258,3,4.4,6,9.05,23.2,78,434,2440,2629,2851,3542
"79","Selliguea quasidivaricata",79,37,5.7,8.3,8.7,9.1,17.1,79,368,2578,3125,3155,3617
