taxonID,family,familyVernacularName,scientificName,vernacularName,code,isEndemic,iucnCategory,source,GBIF_name,GBIF_code
7002,Lycopodiaceae,石松科,Huperzia selago (L.) Bernh. ex Schrank & Mart.,小杉葉石杉,SP1,0,VU,原生,Huperzia selago,49
7494,Lycopodiaceae,石松科,Lycopodium clavatum L.,石松,SP2,0,LC,原生,Lycopodium clavatum,57
6999,Lycopodiaceae,石松科,Lycopodium complanatum L.,地刷子,SP3,0,LC,原生,Diphasiastrum multispicatum,29
6998,Lycopodiaceae,石松科,Lycopodium obscurum L.,玉柏,SP4,0,LC,原生,Dendrolycopodium juniperoideum,26
7000,Lycopodiaceae,石松科,Lycopodium veitchii Christ,玉山石松,SP5,0,LC,原生,Diphasiastrum veitchii,30
7453,Athyriaceae,蹄蓋蕨科,Athyrium oppositipennum Hayata var. pubescens (Tagawa) Tagawa,逆羽蹄蓋蕨,SP6,0,LC,原生,Athyrium reflexipinnum,10
6811,Dryopteridaceae,鱗毛蕨科,Dryopteris alpestris Tagawa,腺鱗毛蕨,SP7,0,LC,原生,Dryopteris alpestris,32
6824,Dryopteridaceae,鱗毛蕨科,Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy,廣布鱗毛蕨,SP8,0,LC,原生,Dryopteris expansa,33
7138,Polypodiaceae,水龍骨科,Selliguea quasidivaricata (Hayata) H.Ohashi & K.Ohashi,玉山茀蕨,SP9,0,LC,原生,Selliguea quasidivaricata,79
738,Cupressaceae,柏科,Juniperus formosana Hayata var. formosana,刺柏,SP10,0,LC,原生,Juniperus formosana formosana,52
739,Cupressaceae,柏科,Juniperus squamata Lamb.,香青,SP11,0,LC,原生,Juniperus squamata,53
717,Pinaceae,松科,Abies kawakamii (Hayata) T. It?,臺灣冷杉,SP12,1,LC,原生,Abies kawakamii,1
720,Pinaceae,松科,Pinus armandii var. mastersiana (Hayata) Hayata,臺灣華山松,SP13,1,LC,原生,Pinus armandii mastersiana,65
724,Pinaceae,松科,Pinus taiwanensis Hayata,臺灣二葉松,SP14,1,LC,原生,Pinus taiwanensis,66
5115,Asparagaceae,天門冬科,Maianthemum formosanum (Hayata) La Frankie,臺灣鹿藥,SP15,0,LC,原生,Maianthemum formosanum,58
3992,Cyperaceae,莎草科,Carex brachyanthera Ohwi,垂穗薹,SP16,1,LC,原生,Carex brachyanthera,16
3993,Cyperaceae,莎草科,Carex breviculmis R. Br.,短莖宿柱薹,SP17,0,LC,原生,Carex breviculmis,17
4000,Cyperaceae,莎草科,Carex chrysolepis Franch. & Sav.,黃花薹,SP18,0,LC,原生,Carex chrysolepis,18
4005,Cyperaceae,莎草科,Carex filicina Nees,紅鞘薹,SP19,0,LC,原生,Carex filicina,19
4026,Cyperaceae,莎草科,Carex orthostemon Hayata,直蕊宿柱薹,SP20,1,LC,原生,Carex orthostemon,20
4027,Cyperaceae,莎草科,Carex oxyandra Kudo,南投薹,SP21,0,LC,原生,Carex oxyandra,21
4044,Cyperaceae,莎草科,Carex tristachya var. pocilliformis (Boott) K?k.,抱鱗宿柱薹,SP22,0,LC,原生,Carex tristachya pocilliformis,22
4166,Cyperaceae,莎草科,Trichophorum subcapitatum (Thwaites & Hook.) D.A.Simpson,玉山針藺,SP23,0,LC,原生,Trichophorum subcapitatum,86
3941,Juncaceae,燈心草科,Luzula effusa Buchenau,中國地楊梅,SP24,0,LC,原生,Luzula effusa,55
3944,Juncaceae,燈心草科,Luzula taiwaniana Satake,臺灣地楊梅,SP25,1,LC,原生,Luzula taiwaniana,56
3859,Melanthiaceae,黑葯花科,Veratrum formosanum Loes.,臺灣藜蘆,SP26,1,LC,原生,Veratrum formosanum,88
4662,Orchidaceae,蘭科,Amitostigma alpestre Fukuy.,南湖雛蘭,SP27,1,LC,原生,Amitostigma alpestre,4
4990,Orchidaceae,蘭科,Platanthera brevicalcarata Hayata,短距粉蝶蘭,SP28,1,LC,原生,Platanthera brevicalcarata,67
4172,Poaceae,禾本科,Agrostis infirma Buse var. infirma,玉山翦股穎,SP29,0,LC,原生,Agrostis infirma,2
4232,Poaceae,禾本科,Brachypodium kawakamii Hayata,川上短柄草,SP30,1,LC,原生,Brachypodium kawakamii,14
4281,Poaceae,禾本科,Deschampsia flexuosa (L.) Trin.,曲芒髮草,SP31,0,LC,原生,Deschampsia flexuosa,27
4285,Poaceae,禾本科,Deyeuxia suizanensis (Hayata) Ohwi,水山野青茅,SP32,1,NT,原生,Calamagrostis filifolia,15
4167,Poaceae,禾本科,Elymus formosanus (Honda) ?. L?ve,臺灣披鹼草,SP33,1,LC,原生,Elymus formosanus,34
3554,Poaceae,禾本科,Festuca japonica Makino,日本羊茅,SP34,0,EN,原生,Festuca japonica,36
4352,Poaceae,禾本科,Festuca ovina L.,羊茅,SP35,0,LC,原生,Festuca ovina,37
4355,Poaceae,禾本科,Festuca rubra L.,紫羊茅,SP36,0,LC,原生,Festuca rubra,38
4360,Poaceae,禾本科,Helictotrichon abietetorum (Ohwi) Ohwi,冷杉異燕麥,SP37,1,LC,原生,Helictotrichon abietetorum,47
4416,Poaceae,禾本科,Miscanthus sinensis Andersson,芒,SP38,0,LC,原生,Miscanthus sinensis,59
4468,Poaceae,禾本科,Phleum alpinum L.,高山梯牧草,SP39,0,LC,原生,Phleum alpinum,62
4541,Poaceae,禾本科,Trisetum spicatum var. formosanum (Honda) Ohwi,臺灣三毛草,SP40,1,LC,原生,Trisetum spicatum var. formosanum,87
4545,Poaceae,禾本科,Yushania niitakayamensis (Hayata) Keng f.,玉山箭竹,SP41,0,LC,原生,Yushania niitakayamensis,91
2573,Araliaceae,五加科,Hydrocotyle setulosa Hayata,阿里山天胡荽,SP42,1,LC,原生,Hydrocotyle setulosa,50
3484,Asteraceae,菊科,Ainsliaea latifolia subsp. henryi (Diels) H. Koyama,臺灣鬼督郵,SP43,0,LC,原生,Ainsliaea latifolia henryi,3
3492,Asteraceae,菊科,Anaphalis morrisonicola Hayata,玉山抱莖籟簫,SP44,0,LC,原生,Anaphalis morrisonicola,5
3493,Asteraceae,菊科,Anaphalis nepalensis (Spreng.) Hand.-Mazz.,尼泊爾籟簫,SP45,0,LC,原生,Anaphalis nepalensis,6
3502,Asteraceae,菊科,Artemisia kawakamii Hayata,山艾,SP46,1,LC,原生,Artemisia kawakamii,9
3561,Asteraceae,菊科,Cirsium arisanense Kitam.,阿里山薊,SP47,1,LC,原生,Cirsium arisanense,23
3567,Asteraceae,菊科,Cirsium kawakamii Hayata,玉山薊,SP48,1,LC,原生,Cirsium kawakamii,24
3632,Asteraceae,菊科,Gnaphalium involucratum var. simplex DC.,細葉鼠麴草,SP49,0,LC,原生,Gnaphalium involucratum simplex,46
3650,Asteraceae,菊科,Hieracium morii Hayata,森氏山柳菊,SP50,1,LC,原生,Hieracium morii,48
3671,Asteraceae,菊科,Leontopodium microphyllum Hayata,玉山薄雪草,SP51,1,LC,原生,Leontopodium microphyllum,54
3680,Asteraceae,菊科,Myriactis humilis Merr.,矮菊,SP52,0,LC,原生,Myriactis humilis,60
3691,Asteraceae,菊科,Picris hieracioides subsp. morrisonensis (Hayata) Kitam.,玉山毛蓮菜,SP53,1,LC,原生,Picris hieracioides subsp. morrisonensis (Hayata),63
3711,Asteraceae,菊科,Senecio morrisonensis Hayata,玉山黃菀,SP54,1,LC,原生,Senecio morrisonensis,80
3720,Asteraceae,菊科,Solidago virgaurea var. leiocarpa Miq.,一枝黃花,SP55,0,LC,原生,Solidago virgaurea leiocarpa,81
1217,Berberidaceae,小檗科,Berberis kawakamii Hayata,臺灣小檗,SP56,1,NT,原生,Berberis kawakamii,11
1219,Berberidaceae,小檗科,Berberis morrisonensis Hayata,玉山小檗,SP57,1,LC,原生,Berberis morrisonensis,12
1408,Brassicaceae,十字花科,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz subsp. kamchatica (Fisch. ex DC.) Hult?n,玉山筷子芥,SP58,0,LC,原生,Arabidopsis lyrata kamchatica,7
3451,Caprifoliaceae,忍冬科,Scabiosa lacerifolia Hayata,玉山山蘿蔔,SP59,1,LC,原生,Scabiosa lacerifolia,77
1065,Caryophyllaceae,石竹科,Arenaria takasagomontana (Masam.) S.S.Ying,高山無心菜,SP60,1,LC,原生,Arenaria takasagomontana,8
1075,Caryophyllaceae,石竹科,Dianthus pygmaeus Hayata,玉山石竹,SP61,1,VU,原生,Dianthus pygmaeus,28
1470,Crassulaceae,景天科,Sedum morrisonense Hayata,玉山佛甲草,SP62,1,LC,原生,Sedum morrisonense,78
2610,Ericaceae,杜鵑花科,Gaultheria itoana Hayata,高山白珠樹,SP63,0,LC,原生,Gaultheria itoana,39
2613,Ericaceae,杜鵑花科,Pieris taiwanensis Hayata,臺灣馬醉木,SP64,0,LC,原生,Pieris taiwanensis,64
2629,Ericaceae,杜鵑花科,Rhododendron pseudochrysanthum Hayata,玉山杜鵑,SP65,1,LC,原生,Rhododendron pseudochrysanthum,71
