region,Summit,dir,Summit_dir,Name,code,cover_P1,cover_P2,cover_P3,T_cover_P1,T_cover_P2,T_cover_P3,V1,name,i.code,N,bio_1_1,bio_1_2,bio_1_3,bio_1_4,bio_1_5,bio_12_1,bio_12_2,bio_12_3,bio_12_4,bio_12_5,scientificname,1,2,3,4,5,d_cov_p2,d_cov_p3,Order,taxonID,family,familyVernacularName,scientificName,vernacularName,isEndemic,iucnCategory,source,V11,GBIF_name,GBIF_code,生活型,Reproduction type,Rk_t,Raunkiaer's Life Form,落葉性,果實形式,陰性陽性,葉有毛,葉形,葉緣,source.1,分布下限,分布上限,2008,2013,2019,incr
DAS,SEN,E,E05,玉柏,SP1,0,1,0,0,0.76,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,0.76,-0.76,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,18
DAS,SEN,E,E10,玉柏,SP1,0,1,0,0,0.78,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,0.78,-0.78,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,15
DAS,SEN,N,N05,玉柏,SP1,0,25,0,0,15.75,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,15.75,-15.75,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,12
DAS,SEN,N,N10,玉柏,SP1,0,25,0,0,16,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,16,-16,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,8
DAS,SEN,S,S05,玉柏,SP1,25,25,0,10.625,17.25,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,6.625,-17.25,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,16
DAS,SEN,S,S10,玉柏,SP1,25,0,0,7.5,0,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,-7.5,0,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,
DAS,SEN,W,W05,玉柏,SP1,25,5,0,21,3.75,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,-17.25,-3.75,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,
DAS,SEN,W,W10,玉柏,SP1,25,25,0,17.5,16.25,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,-1.25,-16.25,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,
DAS,SUN,E,E05,玉柏,SP1,25,25,0,18.125,21.25,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,3.125,-21.25,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,17
DAS,SUN,E,E10,玉柏,SP1,0,5,0,0,4.1,0,26,Dendrolycopodium juniperoideum,26,98,-110,-47.75,16,66.5,133,229,494.75,765,2447.25,3411,Dendrolycopodium juniperoideum,6.4,26.075,32.85,40.75,99.6,4.1,-4.1,1,6998,Lycopodiaceae,石松科,Dendrolycopodium juniperoideum (Sw.) A. Haines,玉柏,0,LC,原生,Dendrolycopodium juniperoideum (Sw.) A. Haines,Dendrolycopodium juniperoideum,26,石松類,s,Ch,Chamaephytes,0,孢子,陰性,0,鑿形,全緣,原生,1500,3885,1,1,,15
